market, ticker
TPEx, 3081.TWO
TPEx, 3163.TWO
TPEx, 3260.TWO
TPEx, 3529.TWO
TPEx, 4966.TWO
TPEx, 5274.TWO
TPEx, 5386.TWO
TPEx, 5475.TWO
TPEx, 6223.TWO
TPEx, 6274.TWO
TPEx, 8086.TWO
TPEx, 8299.TWO
TWSE, 1513.TW
TWSE, 1514.TW
TWSE, 1519.TW
TWSE, 1609.TW
TWSE, 2301.TW
TWSE, 2303.TW
TWSE, 2308.TW
TWSE, 2317.TW
TWSE, 2324.TW
TWSE, 2330.TW
TWSE, 2337.TW
TWSE, 2344.TW
TWSE, 2345.TW
TWSE, 2356.TW
TWSE, 2379.TW
TWSE, 2382.TW
TWSE, 2408.TW
TWSE, 2421.TW
TWSE, 2454.TW
TWSE, 2486.TW
TWSE, 2855.TW
TWSE, 2885.TW
TWSE, 3017.TW
TWSE, 3034.TW
TWSE, 3037.TW
TWSE, 3045.TW
TWSE, 3189.TW
TWSE, 3231.TW
TWSE, 3653.TW
TWSE, 3661.TW
TWSE, 3711.TW
TWSE, 4904.TW
TWSE, 6239.TW
TWSE, 6505.TW
TWSE, 6531.TW
TWSE, 6669.TW
TWSE, 6806.TW
TWSE, 8046.TW
US, AAPL
US, AMD
US, AMZN
US, AVGO
US, GOOG
US, META
US, MSFT
US, NVDA
US, PLTR
US, SMCI
US, TSM
SG, CICT.SI
SG, CLAR.SI
SG, CLCT.SI
SG, MINT.SI
SG, MLT.SI
SG, MPACT.SI
